2026-03-22 02:09:53 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/calendar/ical/LISTING_ID_04.ics?s=SECRET_TOKEN_04 "HTTP/1.1 301 Moved Permanently"
2026-03-22 02:09:53 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/404 "HTTP/1.1 404 Not Found"
2026-03-22 02:09:53 | WARNING | src.fetcher | HTTP 404 fetching iCal (attempt 2/3): https://www.airbnb.com/calendar/ical/LISTING_ID_04.ics?s=SECRET_TOKEN_04
2026-03-22 02:09:56 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/calendar/ical/LISTING_ID_04.ics?s=SECRET_TOKEN_04 "HTTP/1.1 301 Moved Permanently"
2026-03-22 02:10:01 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/404 "HTTP/1.1 404 Not Found"
2026-03-22 02:10:01 | WARNING | src.fetcher | HTTP 404 fetching iCal (attempt 3/3): https://www.airbnb.com/calendar/ical/LISTING_ID_04.ics?s=SECRET_TOKEN_04
2026-03-22 02:10:01 | WARNING | src.fetcher | Failed to fetch property=prop_04: Failed to fetch iCal after 3 attempts: https://www.airbnb.com/calendar/ical/LISTING_ID_04.ics?s=SECRET_TOKEN_04
2026-03-22 02:10:01 | INFO | src.scheduler | Received signal 2, shutting down scheduler...
2026-03-22 02:10:03 | INFO | src.fetcher | Fetching iCal for property=prop_05 (Property 05)
2026-03-22 02:10:03 | INFO | src.scheduler | Received signal 2, shutting down scheduler...
2026-03-22 02:10:03 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/calendar/ical/LISTING_ID_05.ics?s=SECRET_TOKEN_05 "HTTP/1.1 301 Moved Permanently"
2026-03-22 02:10:03 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/404 "HTTP/1.1 404 Not Found"
2026-03-22 02:10:03 | WARNING | src.fetcher | HTTP 404 fetching iCal (attempt 1/3): https://www.airbnb.com/calendar/ical/LISTING_ID_05.ics?s=SECRET_TOKEN_05
2026-03-22 02:10:04 | INFO | src.scheduler | Received signal 2, shutting down scheduler...
2026-03-22 02:10:05 | INFO | src.scheduler | Received signal 2, shutting down scheduler...
2026-03-22 02:10:05 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/calendar/ical/LISTING_ID_05.ics?s=SECRET_TOKEN_05 "HTTP/1.1 301 Moved Permanently"
2026-03-22 02:10:05 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/404 "HTTP/1.1 404 Not Found"
2026-03-22 02:10:05 | WARNING | src.fetcher | HTTP 404 fetching iCal (attempt 2/3): https://www.airbnb.com/calendar/ical/LISTING_ID_05.ics?s=SECRET_TOKEN_05
2026-03-22 02:10:07 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/calendar/ical/LISTING_ID_05.ics?s=SECRET_TOKEN_05 "HTTP/1.1 301 Moved Permanently"
2026-03-22 02:24:44 | INFO | __main__ | Starting occupancy update cycle for 12 properties
2026-03-22 02:24:44 | INFO | src.fetcher | Fetching iCal for property=prop_01 (Property 01)
2026-03-22 02:24:44 | DEBUG | httpcore.connection | connect_tcp.started host='www.airbnb.com' port=443 local_address=None timeout=30 socket_options=None
2026-03-22 02:24:44 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001F0A68900D0>
2026-03-22 02:24:44 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001F0A685D400> server_hostname='www.airbnb.com' timeout=30
2026-03-22 02:24:44 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001F0A6883F90>
2026-03-22 02:24:44 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-03-22 02:24:44 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 02:24:44 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-03-22 02:24:44 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 02:24:44 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-03-22 02:24:45 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Content-Type', b'text/calendar;charset=utf-8'), (b'x-instrumentation', b'airbnb'), (b'x-server-lifecycle-phase', b'running'), (b'status', b'200 OK'), (b'x-kraken-loop-name', b'hanaro-treehouse'), (b'content-disposition', b'inline; filename="listing-1292658416910564762.ics"'), (b'x-app-git-sha', b'sha=7428ee8235e7c'), (b'x-envoy-upstream-service-time', b'179'), (b'x-instrumentation', b'airbnb'), (b'x-k8s-app-name', b'hanaro-treehouse-production'), (b'x-k8s-namespace', b'hanaro-treehouse-production'), (b'x-k8s-pod-name', b'hanaro-treehouse-production-7d47cb6b75-s979g'), (b'x-server-api-method', b'CalendarExportResource#getExportedCalendarIcal'), (b'x-server-canonical-path', b'/calendar/{ical:(?i:ical)}/{listingId}.ics'), (b'x-server-lifecycle-phase', b'running'), (b'x-server-service-name', b'Hanaro'), (b'x-airbnb-internal-trace-id', b'-NWQXsmY7Da-W7a4gRe6Vw=='), (b'Content-Encoding', b'gzip'), (b'Server-Timing', b'ingress;dur=179, upstream;dur=179'), (b'Strict-Transport-Security', b'max-age=10886400; includeSubdomains'), (b'X-Server-Name', b'www.airbnb.com'), (b'Content-Length', b'446'), (b'Expires', b'Sat, 21 Mar 2026 19:24:45 GMT'), (b'Cache-Control', b'max-age=0, no-cache, no-store'), (b'Pragma', b'no-cache'), (b'Date', b'Sat, 21 Mar 2026 19:24:45 GMT'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'Set-Cookie', b'bev=1774121084_EAZWYxZTg0ZGY1OD; Path=/; Domain=.airbnb.com; Expires=Mon, 20-Mar-2028 19:24:44 GMT; Max-Age=63072000; Secure'), (b'Set-Cookie', b'everest_cookie=1774121084.EAODJiODczNTAxNjYwMm.C6hl5bN-nPW5DWugdSUcfmF4hYHpDs3CJa4iBfCK-MY; expires=Tue, 20-Mar-2029 19:24:45 GMT; path=/; domain=.airbnb.com; secure'), (b'Set-Cookie', b'bev=1774121084_EAZWYxZTg0ZGY1OD; expires=Mon, 20-Mar-2028 19:24:45 GMT; path=/; domain=.airbnb.com; secure'), (b'Set-Cookie', b'country=TH; path=/; domain=.airbnb.com; secure'), (b'Set-Cookie', b'cdn_exp_abd8871b54fcbadab=control; expires=Wed, 20-May-2026 19:24:45 GMT; path=/; domain=.airbnb.com'), (b'Alt-Svc', b'h3=":443"; ma=93600'), (b'Akamai-Request-BC', b'[a=49.231.96.221,b=469596908,c=g,n=TH_90_HATYAI,o=131445],[c=c,n=JP_13_TOKYO,o=20940],[c=c,n=US_VA_ASHBURN,o=20940],[a=247,c=o]'), (b'x-airbnb-sureride', b'c1a1o.0.dd60e731.1774121084.1bfd7aec%%i1c1o%%t1d1o.-NWQXsmY7Da-W7a4gRe6Vw==%%h1'), (b'Cachestatus', b'on'), (b'Server-Timing', b'cdn-cache; desc=MISS, edge; dur=324, origin; dur=192'), (b'origin-trial', b'AkOekvxwprBLSP7I2nhyRn5yZGt9lTJN6UIYziFKVYg5OhlzmlNDciWbBWkEQ5TYPz+aqsuIUT2pPEjPUD5dFAsAAABneyJvcmlnaW4iOiJodHRwczovL2FpcmJuYi5jb206NDQzIiwiZmVhdHVyZSI6IlByaW9yaXR5SGludHNBUEkiLCJleHBpcnkiOjE2NDc5OTM1OTksImlzU3ViZG9tYWluIjp0cnVlfQ=='), (b'x-browser-type', b'unknown'), (b'x-erf-bev-bev-is-generated', b'1'), (b'x-erf-bev-bev', b'1774121084_EAZWYxZTg0ZGY1OD'), (b'x-airbnb-everest-device-id', b'1774121084.EAODJiODczNTAxNjYwMm.C6hl5bN-nPW5DWugdSUcfmF4hYHpDs3CJa4iBfCK-MY')])
2026-03-22 02:24:45 | INFO | httpx | HTTP Request: GET https://www.airbnb.com/calendar/ical/1292658416910564762.ics?t=8cb9df85e12c41abacb58703f4aff81c "HTTP/1.1 200 OK"
2026-03-22 02:24:45 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-03-22 02:24:45 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 02:24:45 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 02:24:45 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 02:24:45 | DEBUG | httpcore.connection | close.started
2026-03-22 02:24:45 | DEBUG | httpcore.connection | close.complete
2026-03-22 02:24:45 | INFO | src.fetcher | Fetched iCal successfully for property=prop_01
2026-03-22 02:24:47 | INFO | src.fetcher | Fetching iCal for property=prop_02 (Property 02)
2026-03-22 02:24:47 | DEBUG | httpcore.connection | connect_tcp.started host='www.airbnb.com' port=443 local_address=None timeout=30 socket_options=None
2026-03-22 02:24:47 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001F0A68A31D0>
2026-03-22 02:24:47 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001F0A685D880> server_hostname='www.airbnb.com' timeout=30
2026-03-22 02:24:47 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001F0A68A2750>
2026-03-22 02:24:47 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-03-22 02:24:47 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 02:24:47 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-03-22 02:24:47 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 02:24:47 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
